accounting date,amount,description,mi_tag,monea_tag
2/6/2015,133.5561582,Loan from bank,Bank loans cash in,Bank loans
2/6/2015,575.3020277,Loan from bank,Bank loans cash in,Bank loans
2/6/2015,5272.839765,Loan from bank,Bank loans cash in,Bank loans
2/6/2015,971.9528804,Loan from bank,Bank loans cash in,Bank loans
2/6/2015,4453.968545,Loan from bank,Bank loans cash in,Bank loans
2/6/2015,9787.004235,Receipt from customer 23,CUST_023,Sales
2/6/2015,172.4015316,Receipt from customer 1,CUST_001,Sales
2/6/2015,9469.549356,Receipt from customer 2,CUST_002,Sales
2/6/2015,2764.293994,Receipt from customer 3,CUST_003,Trade debtors
2/6/2015,9024.485229,Receipt from customer 4,CUST_004,Trade debtors
2/6/2015,1398.703154,Receipt from customer 5,CUST_005,Trade debtors
2/6/2015,3694.717128,Receipt from customer 6,CUST_006,Trade debtors
2/6/2015,9319.682342,Receipt from customer 7,CUST_007,Trade debtors
2/6/2015,2773.415084,Receipt from customer 8,CUST_008,Trade debtors
2/6/2015,5366.676167,Receipt from customer 9,CUST_009,Trade debtors
2/6/2015,6285.547589,Loan from bank,Bank loans cash in,Bank loans
2/6/2015,6805.068427,vat received,VAT cash in,VAT
2/6/2015,5407.135808,Loan from bank,Bank loans cash in,Bank loans
2/6/2015,6089.496687,Receipt from customer 7,CUST_007,Trade debtors
2/6/2015,4645.408315,Receipt from customer 8,CUST_008,Trade debtors
2/6/2015,4295.310855,Receipt from customer 9,CUST_009,Trade debtors
2/6/2015,2058.254786,Receipt from customer 10,CUST_010,Trade debtors
2/6/2015,4225.524856,Receipt from customer 11,CUST_011,Trade debtors
2/6/2015,8488.377108,Receipt from customer 12,CUST_012,Trade debtors
2/6/2015,1089.322984,Receipt from customer 13,CUST_013,Trade debtors
2/6/2015,1365.834838,Receipt from customer 14,CUST_014,Trade debtors
2/6/2015,7172.842458,Receipt from customer 15,CUST_015,Trade debtors
2/6/2015,7475.316621,Receipt from customer 16,CUST_016,Trade debtors
2/6/2015,5714.843396,Receipt from customer 17,CUST_017,Trade debtors
2/6/2015,5349.627462,Receipt from customer 18,CUST_018,Trade debtors
2/6/2015,1252.141372,Receipt from customer 19,CUST_019,Trade debtors
2/6/2015,4262.906296,Receipt from customer 20,CUST_020,Trade debtors
2/6/2015,429.2952465,Receipt from customer 21,CUST_021,Trade debtors
2/6/2015,155.0606637,Receipt from customer 22,CUST_022,Trade debtors
2/6/2015,1693.507988,Receipt from customer 23,CUST_023,Sales
2/6/2015,5335.520878,Receipt from customer 6,CUST_006,Trade debtors
2/6/2015,9059.192304,Receipt from customer 7,CUST_007,Trade debtors
2/6/2015,3532.313331,Receipt from customer 8,CUST_008,Trade debtors
2/6/2015,8338.516109,Receipt from customer 9,CUST_009,Trade debtors
2/6/2015,1461.106848,Receipt from customer 10,CUST_010,Trade debtors
2/6/2015,1287.040972,Receipt from customer 11,CUST_011,Trade debtors
2/6/2015,7566.923164,Receipt from customer 21,CUST_021,Trade debtors
2/6/2015,2414.526482,Receipt from customer 22,CUST_022,Trade debtors
2/6/2015,9321.589093,Receipt from customer 23,CUST_023,Sales
2/6/2015,6894.33628,Receipt from customer 6,CUST_006,Trade debtors
2/6/2015,1760.171491,Receipt from customer 7,CUST_007,Trade debtors
2/6/2015,206.6504908,Receipt from customer 8,CUST_008,Trade debtors
2/6/2015,4497.115168,Receipt from customer 9,CUST_009,Trade debtors
2/6/2015,876.1851672,Receipt from customer 10,CUST_010,Trade debtors
2/6/2015,9870.659853,Receipt from customer 11,CUST_011,Trade debtors
3/6/2015,7801.261188,Receipt from customer 12,CUST_012,Trade debtors
3/6/2015,134.1078675,Receipt from customer 21,CUST_021,Trade debtors
3/6/2015,6199.189507,Receipt from customer 22,CUST_022,Trade debtors
3/6/2015,668.338056,Receipt from customer 23,CUST_023,Sales
3/6/2015,4586.578257,Receipt from customer 6,CUST_006,Trade debtors
3/6/2015,1141.372164,Receipt from customer 7,CUST_007,Trade debtors
3/6/2015,7006.866276,Receipt from customer 8,CUST_008,Trade debtors
3/6/2015,5041.300032,Receipt from customer 6,CUST_006,Trade debtors
3/6/2015,6467.135827,Receipt from customer 7,CUST_007,Trade debtors
3/6/2015,131.6816114,Receipt from customer 8,CUST_008,Trade debtors
3/6/2015,8889.008985,Receipt from customer 6,CUST_006,Trade debtors
3/6/2015,1023.968452,Receipt from customer 7,CUST_007,Trade debtors
3/6/2015,9531.44463,Receipt from customer 8,CUST_008,Trade debtors
3/6/2015,2316.549394,Receipt from customer 9,CUST_009,Trade debtors
3/6/2015,9153.877316,Receipt from customer 10,CUST_010,Trade debtors
3/6/2015,6934.451541,Receipt from customer 11,CUST_011,Trade debtors
4/6/2015,-6233.591119,Creditor payment costs 15,PURC_15,Trade creditors
4/6/2015,-3258.82416,Creditor payment costs 16,PURC_16,Trade creditors
4/6/2015,-8620.937626,Creditor payment costs 17,PURC_17,Trade creditors
4/6/2015,-8440.046494,Creditor payment costs 18,PURC_18,Trade creditors
4/6/2015,-5108.680704,Creditor payment costs 19,PURC_19,Trade creditors
4/6/2015,-8396.286085,Creditor payment costs 20,PURC_20,Trade creditors
4/6/2015,-4342.621454,Creditor payment costs 21,PURC_21,Trade creditors
4/6/2015,-66.2970614,Creditor payment costs 22,PURC_22,Trade creditors
4/6/2015,-3558.527162,Creditor payment costs 23,PURC_23,Trade creditors
4/6/2015,-5000.040251,Creditor payment costs 24,PURC_24,Trade creditors
4/6/2015,-7723.094226,Creditor payment costs 25,PURC_25,Trade creditors
4/6/2015,-5475.699775,Creditor payment costs 26,PURC_26,Trade creditors
4/6/2015,-3551.475117,Creditor payment costs 27,PURC_27,Trade creditors
4/6/2015,-8844.865837,Creditor payment costs 28,PURC_28,Trade creditors
4/6/2015,-1276.956081,Creditor payment costs 29,PURC_29,Trade creditors
4/6/2015,-8547.746785,Creditor payment costs 30,PURC_30,Trade creditors
4/6/2015,-6731.486682,Creditor payment costs 31,PURC_31,Trade creditors
4/6/2015,-5736.67437,Creditor payment costs 32,PURC_32,Trade creditors
4/6/2015,-4219.231959,Creditor payment costs 33,PURC_33,Trade creditors
4/6/2015,-1492.505394,Creditor payment costs 34,PURC_34,Trade creditors
4/6/2015,-4143.597964,Creditor payment costs 35,PURC_35,Trade creditors
4/6/2015,-9232.356471,Creditor payment costs 36,PURC_36,Trade creditors
4/6/2015,-226.9698311,Creditor payment costs 37,PURC_37,Trade creditors
4/6/2015,-8887.282833,Creditor payment costs 38,PURC_38,Trade creditors
4/6/2015,-8318.663454,Creditor payment costs 39,PURC_39,Trade creditors
4/6/2015,-5855.095054,Creditor payment costs 40,PURC_40,Trade creditors
4/6/2015,-628.5161448,Creditor payment costs 41,PURC_41,Trade creditors
4/6/2015,-6467.822906,Creditor payment costs 42,PURC_42,Trade creditors
4/6/2015,-6190.589621,Creditor payment costs 43,PURC_43,Purchases
4/6/2015,-8897.98546,Creditor payment costs 44,PURC_44,Trade creditors
4/6/2015,-5424.334675,Creditor payment costs 45,PURC_45,Purchases
4/6/2015,-986.5992927,Creditor payment costs 46,PURC_46,Purchases
4/6/2015,-5821.217779,Business upgrade,Computers purchased,Computer equipmt Addi
4/6/2015,-9613.87276,stock for product,Some stock bought,Stock
4/6/2015,-8576.442998,Logisitics FA,New Van,Motor vehicles HP/FL additions 
4/6/2015,-5937.09231,charges banking,bank fees o/d,Bank charges
4/6/2015,-5972.470392,Business upgrade,Computers purchased,Computer equipmt Addi
4/6/2015,-6356.894527,stock for product,Some stock bought,Stock
4/6/2015,-4599.243302,Logisitics FA,New Van,Motor vehicles HP/FL additions 
4/6/2015,-765.9822262,stock for product,Some stock bought,Stock
4/6/2015,-9092.116245,Logisitics FA,New Van,Motor vehicles HP/FL additions 
4/6/2015,-9024.043299,charges banking,bank fees o/d,Bank charges
4/6/2015,-5873.254081,Business upgrade,Computers purchased,Computer equipmt Addi
4/6/2015,-2357.579107,stock for product,Some stock bought,Stock
4/6/2015,-1396.547203,Logisitics FA,New Van,Motor vehicles HP/FL additions 
4/6/2015,-8476.394292,charges banking,bank fees o/d,Bank charges
4/6/2015,-6389.885887,Business upgrade,Computers purchased,Computer equipmt Addi
4/6/2015,-7908.241695,stock for product,Some stock bought,Stock
4/6/2015,-6058.475669,Logisitics FA,New Van,Motor vehicles HP/FL additions 
4/6/2015,-5596.142424,Creditor payment costs 5,PURC_05,Trade creditors
4/6/2015,-1854.583473,Creditor payment costs 6,PURC_06,Trade creditors
4/6/2015,-3536.049512,Creditor payment costs 7,PURC_07,Trade creditors
4/6/2015,-3912.35583,Creditor payment costs 8,PURC_08,Trade creditors
4/6/2015,-8644.410318,Creditor payment costs 9,PURC_09,Purchases
4/6/2015,-8527.952356,Creditor payment costs 10,PURC_10,Trade creditors
4/6/2015,-4689.67045,Creditor payment costs 11,PURC_11,Trade creditors
4/6/2015,-2394.261418,Creditor payment costs 12,PURC_12,Trade creditors
4/6/2015,-7733.856044,Creditor payment costs 13,PURC_13,Trade creditors
4/6/2015,-9097.826001,Creditor payment costs 14,PURC_14,Trade creditors
4/6/2015,-9881.123653,Creditor payment costs 15,PURC_15,Trade creditors
4/6/2015,-9469.549356,Creditor payment costs 40,PURC_40,Trade creditors
31/4/15,-2764.293994,Creditor payment costs 41,PURC_41,Trade creditors
31/4/15,-9024.485229,Creditor payment costs 42,PURC_42,Trade creditors
31/4/15,-1398.703154,Creditor payment costs 43,PURC_43,Purchases
31/4/15,-3694.717128,Creditor payment costs 44,PURC_44,Trade creditors
31/4/15,-9319.682342,Creditor payment costs 45,PURC_45,Purchases
31/4/15,-2773.415084,Creditor payment costs 46,PURC_46,Purchases
31/4/15,-5366.676167,Business upgrade,Computers purchased,Computer equipmt Addi
31/4/15,-6285.547589,stock for product,Some stock bought,Stock
31/4/15,-6805.068427,Logisitics FA,New Van,Motor vehicles HP/FL additions 
31/4/15,-5407.135808,charges banking,bank fees o/d,Bank charges
31/4/15,-2867.50609,Business upgrade,Computers purchased,Computer equipmt Addi
31/4/15,-4294.815233,stock for product,Some stock bought,Stock
31/4/15,-1455.221354,Logisitics FA,New Van,Motor vehicles HP/FL additions 
31/4/15,-9059.192304,charges banking,bank fees o/d,Bank charges
31/4/15,-3532.313331,Business upgrade,Computers purchased,Computer equipmt Addi
31/4/15,-8338.516109,stock for product,Some stock bought,Stock
31/4/15,-1461.106848,Logisitics FA,New Van,Motor vehicles HP/FL additions 
31/4/15,-1287.040972,charges banking,bank fees o/d,Bank charges
31/4/15,-3808.985748,Creditor payment costs 1,PURC_01,Purchases
31/4/15,-7181.145467,Creditor payment costs 2,PURC_02,Purchases
31/4/15,-8611.203608,Creditor payment costs 3,PURC_03,Trade creditors
31/4/15,-6894.33628,Creditor payment costs 13,PURC_13,Trade creditors
31/4/15,-1760.171491,Creditor payment costs 14,PURC_14,Trade creditors
31/4/15,-206.6504908,Creditor payment costs 15,PURC_15,Trade creditors
31/4/15,-4497.115168,Creditor payment costs 16,PURC_16,Trade creditors
31/4/15,-876.1851672,Creditor payment costs 17,PURC_17,Trade creditors
31/4/15,-134.1078675,Creditor payment costs 28,PURC_28,Trade creditors
31/4/15,-6199.189507,Creditor payment costs 29,PURC_29,Trade creditors
31/4/15,-668.338056,Creditor payment costs 30,PURC_30,Trade creditors
31/4/15,-4586.578257,Creditor payment costs 31,PURC_31,Trade creditors
31/4/15,-1141.372164,Creditor payment costs 32,PURC_32,Trade creditors
31/4/15,-7006.866276,Creditor payment costs 33,PURC_33,Trade creditors
31/4/15,-6934.451541,Creditor payment costs 42,PURC_42,Trade creditors
31/4/15,-4609.289158,Creditor payment costs 43,PURC_43,Purchases
31/4/15,-2429.523948,Creditor payment costs 44,PURC_44,Trade creditors
31/4/15,-3816.703371,Creditor payment costs 45,PURC_45,Purchases
31/4/15,-5621.978626,Creditor payment costs 46,PURC_46,Purchases
31/4/15,-5135.099491,Creditor payment costs 41,PURC_41,Trade creditors
31/4/15,-9223.01636,Creditor payment costs 42,PURC_42,Trade creditors
31/4/15,-6016.599039,Creditor payment costs 43,PURC_43,Purchases
