reporting month,GL code,description,amount,ifrstag
1/12/2014,260701000,Customer FX Trading Suspense,555.23,Trade and other payables
1/12/2014,260801000,Funds in suspense,555.23,Trade and other payables
1/12/2014,260802000,EVRY Error Account,555.23,Trade and other payables
1/12/2014,260803000,Overdue Interest,555.23,Trade and other payables
1/12/2014,260804000,Manual Cheques,555.23,Trade and other payables
1/12/2014,260805000,Money Market Suspense,555.23,Trade and other payables
1/12/2014,260806000,EVRY Settlement Account,555.23,Trade and other payables
1/12/2014,260807000,Direct Debit Suspense,555.23,Trade and other payables
1/12/2014,260808000,Bank Giro Suspense,1412.12,Trade and other payables
1/12/2014,260809000,Standing Order Suspense,1412.12,Trade and other payables
1/12/2014,260900000,Cash Shortage/ Overage,1412.12,Trade and other payables
1/12/2014,261000000,General Creditors,1412.12,Trade and other payables
1/12/2014,261100000,Interest Received in Advance,1412.12,Trade and other payables
1/12/2014,261201000,Fraud - Provision,1412.12,Trade and other payables
1/12/2014,261202000,Client Compensation - Provision,1412.12,Trade and other payables
1/12/2014,261203000,Errors - Provision,810.12,Trade and other payables
1/12/2014,261204000,Overdue interest waived - Provision,810.12,Trade and other payables
1/12/2014,261205000,Interest waived - Provision,810.12,Trade and other payables
1/12/2014,289999995,Loan Settlement Bridge,810.12,Trade and other payables
1/12/2014,289999996,Direct Debit Suspense,810.12,Trade and other payables
1/12/2014,290100000,Share Capital,810.12,Trade and other payables
1/12/2014,290200000,Share Premium,810.12,Trade and other payables
1/12/2014,290301000,Profit and loss account - EoY,810.12,Trade and other payables
1/12/2014,290302014,Profit and loss account - 2014,810.12,Trade and other payables
1/12/2014,290302015,Profit and loss account - 2015,1123.24,Trade and other payables
1/12/2014,290400000,Direct Share Issue Costs,1123.24,Trade and other payables
1/12/2014,290500000,Revaluation Reserves,1123.24,Trade and other payables
1/12/2014,290600000,AFS Revaluation Gain,1123.24,Trade and other payables
1/12/2014,290700000,AFS Revaluation Loss,1123.24,Trade and other payables
1/12/2014,290800000,Cashflow Hedge Gain,1123.24,Trade and other payables
1/12/2014,290900000,Cashflow Hedge Loss,1123.24,Trade and other payables
1/12/2014,310101000,Reserve Account - Int Inc,1123.24,Trade and other payables
1/12/2014,310201000,Nostro - Int Inc,1123.24,Trade and other payables
1/12/2014,310202000,MM Call loans - Banks - Int Inc,1123.24,Revenue
1/12/2014,310203000,Cash cover placements - Int Inc,1123.24,Revenue
1/12/2014,310301000,MM Term Loans - Banks - Int Inc,1123.24,Revenue
1/12/2014,310302000,CD - Purchased - Int Inc,1123.24,Revenue
1/12/2014,310401000,Reverse Repo - Int Inc,1123.24,Revenue
1/12/2014,310451000,IR Swap - Int Inc,1123.24,Revenue
1/12/2014,310501000,Overdrawn C/A - Personal - Int Inc,122.34,Revenue
1/12/2014,310502000,Overdrawn C/A - Non-Personal - Int Inc,122.34,Revenue
1/12/2014,310509999,Overdraft Fees Release,122.34,Revenue
1/12/2014,310601000,Charge Card Account - Personal - Int Inc,122.34,Revenue
1/12/2014,310602000,Charge Card Account - Non-Personal - Int Inc,122.34,Revenue
1/12/2014,310701010,Unregulated Term Loan - Personal - Int Inc,122.34,Revenue
1/12/2014,310701020,Unregulated Term Loan - Non-Personal - Int Inc,122.34,Revenue
1/12/2014,310702010,CCA Term Loan - Personal - Int Inc,122.34,Revenue
1/12/2014,310702020,CCA Term Loan - Non-Personal - Int Inc,122.34,Revenue
1/12/2014,310703010,MCOB Term Loan - Personal - Int Inc,122.34,Revenue
1/12/2014,310703020,MCOB Term Loan - Non-Personal - Int Inc,122.34,Revenue
1/12/2014,310709999,Term Loan Fees Release,122.34,Revenue
1/12/2014,310801000,MCOB Mortgages - Personal - Int Inc,123.41,Revenue
1/12/2014,310802000,MCOB Mortgages - Non-Personal - Int Inc,123.41,Revenue
1/12/2014,310809999,Mortgage Fees Release,1412.12,Revenue
1/12/2014,310901000,Unregulated Bridging Loan - Personal - Int Inc,1412.12,Revenue
1/12/2014,310902000,Unregulated Bridging Loan - Non-Personal - Int Inc,1412.12,Revenue
1/12/2014,310903000,CCA Bridging Loan - Personal - Int Inc,1412.12,Revenue
1/12/2014,310904000,CCA Bridging Loan - Non-Personal - Int Inc,1412.12,Revenue
1/12/2014,310905000,MCOB Briding Loan - Personal - Int Inc,1412.12,Revenue
1/12/2014,310906000,MCOB Bridging Loan - Non-Personal - Int Inc,1412.12,Revenue
1/12/2014,310909999,Bridging Loan Fees Release,123.41,Revenue
1/12/2014,311001000,T-Bill Purchased - Int Inc,123.41,Revenue
1/12/2014,311001500,T-Bill Premium/Discount Release,1412.12,Revenue
1/12/2014,311003000,Gilt Purchased - Int Inc,1412.12,Revenue
1/12/2014,311003500,Gilt Premium/Discount Release,1412.12,Revenue
1/12/2014,311004000,FRN Purchased - Int Inc,1412.12,Revenue
1/12/2014,311004500,FRN Premium/Discount Release,1412.12,Revenue
1/12/2014,311101000,Discount Unwind - Overdrafts,1412.12,Revenue
1/12/2014,311102000,Discount Unwind - Charge Card Account,1412.12,Revenue
1/12/2014,311103000,Discount Unwind - Term Loans,1412.12,Revenue
1/12/2014,311104000,Discount Unwind - Mortgages,1412.12,Revenue
1/12/2014,311105000,Discount Unwind - Bridging Loan,1412.12,Revenue
1/12/2014,320101000,Overdraft Fees,1412.12,Revenue
1/12/2014,320102000,Term Loan Fees,124.3,Revenue
1/12/2014,320103000,Mortgage Fees,124.99,Revenue
1/12/2014,320104000,Bridging Loan Fees,1245,Revenue
1/12/2014,320105000,Mirror - Overdraft Fees,810.12,Revenue
1/12/2014,320106000,Mirror - Term Loan Fees,810.12,Revenue
1/12/2014,320107000,Mirror - Mortgage Fees,810.12,Revenue
1/12/2014,320108000,Mirror - Bridging Loan Fees,810.12,Revenue
1/12/2014,320201000,HMRC Guarantee Fee Income,810.12,Revenue
1/12/2014,320202000,Other Guarantee Fee Income,810.12,Revenue
1/12/2014,320203000,Mirror - HMRC Guarantee Fee Income,810.12,Revenue
1/12/2014,320204000,Mirror - Other Guarantee Fee Income,810.12,Revenue
1/12/2014,320300000,Monthly Client Charges,810.12,Revenue
1/12/2014,320500000,Cheque Collections,810.12,Revenue
1/12/2014,320600000,MasterCard Account Income,810.12,Revenue
1/12/2014,320900000,CHAPS Transactions,810.12,Revenue
1/12/2014,321000000,SWIFT Transactions,810.12,Revenue
1/12/2014,321100000,Currency Draft Transactions,123.41,Revenue
1/12/2014,321200000,Account Service Charges,123.41,Revenue
1/12/2014,321300000,Ad hoc Loan Fees,123.41,Revenue
1/12/2014,321400000,Loan Accounts Breakage Charges,123.41,Revenue
1/12/2014,321500000,Term Accounts Breakage Charges,123.41,Revenue
1/12/2014,330100000,FX Revaluation,123.41,Revenue
1/12/2014,330200000,FX Trading Income,123.41,Revenue
1/12/2014,330300000,Net Fair Value Movement on SWAPs,123.41,Revenue
1/12/2014,340100000,Profit on sale of AFS investment,123.41,Revenue
1/12/2014,340400000,VAT Recovered,123.41,Revenue
1/12/2014,340500000,Profit on Sale of Fixed Asset,123.41,Revenue
1/12/2014,410101000,O/D Nostro Accs - Int Exp,123.41,Cost of sales
1/12/2014,410102000,MM Call Deposits - Banks - Int Exp,123.41,Cost of sales
1/12/2014,410103000,Cash Cover Accs - Banks - Int Exp,123.41,Cost of sales
1/12/2014,410201000,MM Term Deposits - Banks - Int Exp,213.44,Cost of sales
1/12/2014,410301000,Repo Deposit - Int Exp,123.41,Cost of sales
1/12/2014,410351000,IR Swap - Int Exp,123.41,Cost of sales
1/12/2014,410401010,Current Accs - Personal - Int Exp,123.41,Cost of sales
1/12/2014,410401020,Current Accs - Non-Personal - Int Exp,2626,Cost of sales
1/12/2014,410402010,Call Accounts - Personal - Int Exp,2626,Cost of sales
1/12/2014,410402020,Call Accounts - Non-Personal - Int Exp,2626,Cost of sales
1/12/2014,410402030,MM Call Deposits - Non-Personal - Int Exp,2626,Cost of sales
1/12/2014,410402040,Cash ISA - Personal - Int Exp,2626,Cost of sales
1/12/2014,410501010,90 Day Notice - Personal - Int Exp,2626,Cost of sales
1/12/2014,410502010,90 Day Notice - Non-Personal - Int Exp,2626,Cost of sales
1/12/2014,410601000,Term Deposits - Personal - Int Exp,2626,Cost of sales
1/12/2014,410602000,Term Deposits - Non-Personal - Int Exp,2626,Cost of sales
1/12/2014,410603000,MM Term Deposits - Non-Personal - Int Exp,1412.12,Cost of sales
1/12/2014,420100000,Nostro Account Charges,1412.12,Cost of sales
1/12/2014,420401000,Intermediary fees - brokerage,1412.12,Cost of sales
1/12/2014,420501000,MasterCard Account Fees,1412.12,Cost of sales
1/12/2014,420601000,Experian fees,1412.12,Cost of sales
1/12/2014,420602000,Agency Bank fees,1412.12,Cost of sales
1/12/2014,420603000,Communisis fees,1412.12,Cost of sales
1/12/2014,420604000,SWIFT / BoE fees,1412.12,Cost of sales
1/12/2014,420605000,EVRY fees,2626,Cost of sales
1/12/2014,420606000,BACS fees,2626,Cost of sales
1/12/2014,420701000,Custody Fees,2626,Cost of sales
1/12/2014,420801000,Other Charges / Commissions Paid,2626,Administrative expenses
1/12/2014,430101010,Basic Salary,2626,Administrative expenses
1/12/2014,430101020,Employers NI and Tax,122.34,Administrative expenses
1/12/2014,430101030,Overtime,122.34,Administrative expenses
1/12/2014,430101040,Pensions,122.34,Administrative expenses
1/12/2014,430101050,Allowances,122.34,Administrative expenses
1/12/2014,430102010,Health Insurance,122.34,Administrative expenses
1/12/2014,430102020,Performance Bonus,122.34,Administrative expenses
1/12/2014,430102030,Training,122.34,Administrative expenses
1/12/2014,430102040,Conferences / Seminars,122.34,Administrative expenses
1/12/2014,430102050,Temporary Staff,122.34,Administrative expenses
1/12/2014,430201000,Board Fees,122.34,Administrative expenses
1/12/2014,430301000,"Travel, accomodation and meals",122.34,Administrative expenses
1/12/2014,430401000,Staff Entertainment - General,122.34,Administrative expenses
1/12/2014,430501000,Client Entertainment - General,122.34,Administrative expenses
1/12/2014,430601000,Rent,122.34,Administrative expenses
1/12/2014,430602000,Rates,122.34,Administrative expenses
1/12/2014,430603000,Utilities,122.34,Administrative expenses
1/12/2014,430604000,Repairs and Maintenance,122.34,Administrative expenses
1/12/2014,430605000,Head Office Parking,122.34,Administrative expenses
1/12/2014,430606000,Cleaning,810.12,Administrative expenses
1/12/2014,430607000,Security,810.12,Administrative expenses
1/12/2014,430608000,Hospitality / Catering,810.12,Administrative expenses
1/12/2014,430609000,Consumables,810.12,Administrative expenses
1/12/2014,430610000,Other Premises Expenses,810.12,Administrative expenses
1/12/2014,430701000,Premises Insurance,810.12,Administrative expenses
1/12/2014,430702000,Bankers blanket,810.12,Administrative expenses
1/12/2014,430703000,Equipment Insurance,810.12,Administrative expenses
1/12/2014,430704000,PI Insurance,810.12,Administrative expenses
1/12/2014,430705000,D&O Insurance,13144.21,Administrative expenses
1/12/2014,430801000,Office Equipment,13144.21,Administrative expenses
1/12/2014,430802000,Computer Equipment,13144.21,Administrative expenses
1/12/2014,430803000,Computer Maintenance,13144.21,Administrative expenses
1/12/2014,430804000,Treasury System,13144.21,Administrative expenses
1/12/2014,430805000,Regulatory Reporting System,13144.21,Administrative expenses
1/12/2014,430806000,Core System,13144.21,Administrative expenses
1/12/2014,430807000,Operations System,13144.21,Administrative expenses
1/12/2014,430808000,Risk / Compliance System,13144.21,Administrative expenses
1/12/2014,430809000,Intranet System,13144.21,Administrative expenses
1/12/2014,430901000,Phone Rental,13144.21,Administrative expenses
1/12/2014,430902000,Phone Charges,13144.21,Other operating income
1/12/2014,430903000,SWIFT,13144.21,Other operating income
1/12/2014,430904000,Postage & Courier,13144.21,Administrative expenses
1/12/2014,431001000,Printing,13144.21,Distribution expenses
1/12/2014,431002000,Stationery,13144.21,Other expenses
1/12/2014,431003000,Printer Supplies,13144.21,Finance expense
1/12/2014,431101000,Advertising,13144.21,Finance income
1/12/2014,431102000,Publications,13144.21,Tax expense
1/12/2014,431103000,Subscriptions,13144.21,Tax expense
1/12/2014,431104000,Donations,13144.21,Tax expense
1/12/2014,431105000,Newspapers,13144.21,Tax expense
1/12/2014,431106000,Client Branded Merchandise,13144.21,Tax expense
1/12/2014,431107000,Fund raising exercise,13144.21,Tax expense
1/12/2014,431201000,Marketing events,13144.21,Tax expense
1/12/2014,431202000,Marketing goods,13144.21,Research and development
1/12/2014,431301000,Payroll Agent,214.51,Other expenses
1/12/2014,431302000,Legal Fees,214.51,Loss on property revaluation
1/12/2014,431303000,Audit Fees,214.51,Exchange gains arising on translation of foreign operations
1/12/2014,431304000,HR Consultancy,214.51,Exchange gains arising on translation of foreign operations
1/12/2014,431305000,Tax Consultancy,214.51,Exchange gains arising on translation of foreign operations
1/12/2014,431306000,General Consultancy,214.51,Exchange gains arising on translation of foreign operations
1/12/2014,431307000,Internal Audit Fees,214.51,Exchange gains arising on translation of foreign operations
1/12/2014,431308000,Corporate Advisors,214.51,Exchange gains arising on translation of foreign operations
1/12/2014,431401000,Project Implementation,214.51,Other expenses
1/12/2014,431501000,Freehold and long-leasehold buildings,214.51,Other expenses
1/12/2014,431502000,Fixtures and fittings,214.51,Other expenses
1/12/2014,431503000,Computer Equipment,214.51,Other expenses
1/12/2014,431504000,Computer Software Licence,214.51,Other expenses
1/12/2014,431505000,Furniture and Equipment,214.51,Other expenses
1/12/2014,431506000,Arts Collection,122.34,Other expenses
1/12/2014,431507000,Fully Depreciated,122.34,Administrative expenses
1/12/2014,431601000,Loss on Sale of Fixed Asset,122.34,Administrative expenses
1/12/2014,431602000,Fixed Asset Written Off,122.34,Administrative expenses
1/12/2014,431701000,Corporation Tax - Previous Year,122.34,Administrative expenses
1/12/2014,431702000,Corporation Tax - Current Year,122.34,Administrative expenses
1/12/2014,431801000,VAT Partially Recoverable,122.34,Administrative expenses
1/12/2014,431802000,VAT Non Recoverable,122.34,Administrative expenses
1/12/2014,431901000,Sundry and Others,122.34,Administrative expenses
1/12/2014,431902000,Expense Process Booking,122.34,Administrative expenses
1/12/2014,432000000,Purchase Ledger Upload,122.34,Administrative expenses
