reporting month,TB code,amount,description,mi_tag,ifrstag
29/12/2014,00047,-628.5161448,Production cost 1,REGION_001,Cost of sales
29/12/2014,00048,-6467.822906,Production cost 2,REGION_001,Cost of sales
29/12/2014,00049,-6190.589621,Production cost 3,REGION_001,Cost of sales
29/12/2014,00050,-8897.98546,Production cost 4,REGION_001,Cost of sales
29/12/2014,00051,-5424.334675,Production cost 5,REGION_001,Cost of sales
29/12/2014,00052,-986.5992927,Production cost 6,REGION_001,Cost of sales
29/12/2014,00053,-5821.217779,Production cost 7,REGION_001,Cost of sales
29/12/2014,00054,-9613.87276,Production cost 8,REGION_001,Cost of sales
29/12/2014,00055,-8576.442998,Production cost 9,REGION_001,Cost of sales
29/12/2014,00056,-5937.09231,Production cost 10,REGION_002,Cost of sales
29/12/2014,00057,-5972.470392,Production cost 11,REGION_002,Cost of sales
29/12/2014,00058,-6356.894527,Production cost 12,REGION_002,Cost of sales
29/12/2014,00059,-4599.243302,Production cost 13,REGION_002,Cost of sales
29/12/2014,00060,-5491.766551,Production cost 14,REGION_002,Cost of sales
29/12/2014,00061,-5192.321781,Production cost 15,REGION_002,Cost of sales
29/12/2014,00062,-8071.303404,Production cost 16,REGION_002,Cost of sales
29/12/2014,00063,-642.7255088,Production cost 17,REGION_002,Cost of sales
29/12/2014,00064,-5612.795346,Production cost 18,REGION_002,Cost of sales
29/12/2014,00065,-6270.613418,Production cost 19,REGION_002,Cost of sales
29/12/2014,00066,-8415.711112,Production cost 20,REGION_002,Cost of sales
29/12/2014,00067,-1979.724144,Production cost 21,REGION_003,Cost of sales
29/12/2014,00068,-6968.405256,Production cost 22,REGION_003,Cost of sales
29/12/2014,00069,-2672.686877,Production cost 23,REGION_003,Cost of sales
29/12/2014,00070,-765.9822262,Production cost 24,REGION_003,Cost of sales
29/12/2014,00071,-9092.116245,Production cost 25,REGION_003,Cost of sales
29/12/2014,00072,-9024.043299,Production cost 26,REGION_003,Cost of sales
29/12/2014,00073,-5873.254081,Production cost 27,REGION_003,Cost of sales
29/12/2014,00074,-2357.579107,Production cost 28,REGION_003,Cost of sales
29/12/2014,00075,-1396.547203,Production cost 29,REGION_003,Cost of sales
29/12/2014,00076,-8476.394292,Production cost 30,REGION_003,Cost of sales
29/12/2014,00077,-6389.885887,Production cost 31,REGION_003,Cost of sales
29/12/2014,00078,-7908.241695,Production cost 32,REGION_003,Cost of sales
29/12/2014,00079,-6058.475669,Production cost 33,REGION_003,Cost of sales
29/12/2014,00080,-8059.609595,Production cost 34,REGION_003,Cost of sales
29/12/2014,00081,-6754.950483,Production cost 35,REGION_003,Cost of sales
29/12/2014,00082,-9204.458406,Production cost 36,REGION_003,Cost of sales
29/12/2014,00083,-314.0339119,Overhead Cost tracking,REGION_001,Cost of sales
29/12/2014,00084,-3676.929254,Overhead Cost tracking,REGION_001,Administration expenses
29/12/2014,00085,-1666.780046,Overhead Cost tracking,REGION_001,Administration expenses
29/12/2014,00086,-7340.268248,Overhead Cost tracking,REGION_001,Distribution expenses
29/12/2014,00087,-2252.399516,Overhead Cost tracking,REGION_001,Cost of sales
29/12/2014,00088,-8797.216096,Overhead Cost tracking,REGION_002,Cost of sales
29/12/2014,00089,-9125.308103,Overhead Cost tracking,REGION_002,Cost of sales
29/12/2014,00090,-8564.509307,Overhead Cost tracking,REGION_002,Administration expenses
29/12/2014,00091,-8107.081478,Overhead Cost tracking,REGION_002,Administration expenses
29/12/2014,00092,-5104.740216,Overhead Cost tracking,REGION_002,Distribution expenses
29/12/2014,00093,-6484.365836,Overhead Cost tracking,REGION_003,Administration expenses
29/12/2014,00094,-3022.706443,Overhead Cost tracking,REGION_003,Cost of sales
29/12/2014,00095,-3762.720775,Overhead Cost tracking,REGION_003,Administration expenses
29/12/2014,00096,-7501.886826,Overhead Cost tracking,REGION_003,Cost of sales
29/12/2014,00097,-7042.276884,Overhead Cost tracking,REGION_003,Distribution expenses
29/12/2014,00098,807237.121,Fixed assets and investments,Non Trading asset,"Property, plant and equipment"
29/12/2014,00099,440471.7699,Fixed assets and investments,Non Trading asset,"Property, plant and equipment"
29/12/2014,00100,973828.478,Fixed assets and investments,Non Trading asset,"Property, plant and equipment"
29/12/2014,00101,604435.378,Fixed assets and investments,Non Trading asset,"Property, plant and equipment"
29/12/2014,00102,430556.4793,Fixed assets and investments,Non Trading asset,"Property, plant and equipment"
29/12/2014,00103,902219.2738,Fixed assets and investments,Non Trading asset,Intangible assets
29/12/2014,00104,417618.244,Fixed assets and investments,Non Trading asset,Intangible assets
29/12/2014,00105,978533.7489,Fixed assets and investments,Non Trading asset,Intangible assets
29/12/2014,00106,293014.9355,Fixed assets and investments,Non Trading asset,Investment property
29/12/2014,00107,582049.4384,Fixed assets and investments,Non Trading asset,Investment property
29/12/2014,00108,550072.6306,Fixed assets and investments,Non Trading asset,Investment property
29/12/2014,00109,787678.9856,Bank loan 1,Financing and loans,Loans and borrowings
29/12/2014,00110,774123.7459,Bank loan 2,Financing and loans,Loans and borrowings
29/12/2014,00111,50767.24378,Bank loan 3,Financing and loans,Loans and borrowings
29/12/2014,00112,354512.5367,Bank loan 4,Financing and loans,Loans and borrowings
29/12/2014,00113,668388.7904,Bank loan 5,Financing and loans,Loans and borrowings
29/12/2014,00114,355692.2406,Bank loan 6,Financing and loans,Loans and borrowings
29/12/2014,00115,189003.5147,Bank loan 7,Financing and loans,Loans and borrowings
29/12/2014,00116,482451.0834,Bank loan 8,Financing and loans,Loans and borrowings
29/12/2014,00117,143803.4573,Stock asset for sale 1,Trading asset,Inventories
29/12/2014,00118,569745.1358,Stock asset for sale 1,Trading asset,Inventories
29/12/2014,00119,824511.1789,Stock asset for sale 2,Trading asset,Inventories
29/12/2014,00120,585863.2287,Stock asset for sale 3,Trading asset,Inventories
29/12/2014,00121,559614.2424,Stock asset for sale 4,Trading asset,Inventories
29/12/2014,00122,185458.3473,Stock asset for sale 5,Trading asset,Inventories
29/12/2014,00123,353604.9512,Stock asset for sale 6,Trading asset,Inventories
29/12/2014,00124,391235.583,Stock asset for sale 7,Trading asset,Inventories
29/12/2014,00125,864441.0318,Stock asset for sale 8,Trading asset,Inventories
29/12/2014,00126,852795.2356,Stock asset for sale 9,Trading asset,Inventories
29/12/2014,00127,468967.045,Stock asset for sale 10,Trading asset,Inventories
29/12/2014,00128,239426.1418,Petty Cash 1,Trading asset,Cash and cash equivalents
29/12/2014,00129,773385.6044,Petty Cash 1,Trading asset,Cash and cash equivalents
29/12/2014,00130,909782.6001,Petty Cash 1,Trading asset,Cash and cash equivalents
29/12/2014,00131,988112.3653,Bank account 1,Trading asset,Cash and cash equivalents
29/12/2014,00132,882746.1355,Bank account 2,Trading asset,Cash and cash equivalents
29/12/2014,00133,428683.0723,Bank account 3,Trading asset,Cash and cash equivalents
29/12/2014,00134,955874.4802,Bank account 4,Trading asset,Cash and cash equivalents
29/12/2014,00135,305126.4791,Wages to be paid 1,Trading liability,Income Tax Payable
29/12/2014,00136,304309.1793,Wages to be paid 2,Trading liability,Income Tax Payable
29/12/2014,00137,402818.5662,Wages to be paid 3,Trading liability,Income Tax Payable
29/12/2014,00138,95608.67289,VAT to be paid 1,Trading liability,Trade and other payables
29/12/2014,00139,172860.4247,VAT to be paid 2,Trading liability,Trade and other payables
29/12/2014,00140,204575.8776,VAT to be paid 3,Trading liability,Trade and other payables
29/12/2014,00141,777172.2442,NICs to be paid 1,Trading liability,Income Tax Payable
29/12/2014,00142,464769.2902,NICs to be paid 2,Trading liability,Income Tax Payable
29/12/2014,00143,363586.3045,NICs to be paid 3,Trading liability,Income Tax Payable
29/12/2014,00144,95608.67289,Company shares 1,Company equity,Share capital
29/12/2014,00145,172860.4247,Company shares 1,Company equity,Share capital
29/12/2014,00146,204575.8776,Company shares 1,Company equity,Share capital
29/12/2014,00147,777172.2442,Company shares 1,Company equity,Share capital
29/12/2014,00148,464769.2902,Company shares 1,Company equity,Share capital
29/12/2014,00149,363586.3045,Company shares 1,Company equity,Share capital
29/12/2014,00150,95608.67289,Company shares 1,Company equity,Share capital
29/12/2014,00151,172860.4247,Previous profits 1,Company equity,Retained earnings
29/12/2014,00152,204575.8776,Previous profits 1,Company equity,Retained earnings
29/12/2014,00153,777172.2442,Previous profits 1,Company equity,Retained earnings
29/12/2014,00154,464769.2902,Previous profits 1,Company equity,Retained earnings
29/12/2014,00155,363586.3045,Previous profits 1,Company equity,Retained earnings
29/12/2014,00156,363586.3045,Previous profits 1,Company equity,Retained earnings
31/12/2013,00001,4696.690611,Sales stream 1,REGION_001,Sales
31/12/2013,00002,9667.011797,Sales stream 2,REGION_001,Sales
31/12/2013,00003,8734.446753,Sales stream 3,REGION_001,Sales
31/12/2013,00004,2146.316367,Sales stream 4,REGION_001,Sales
31/12/2013,00005,1602.438244,Sales stream 5,REGION_001,Sales
31/12/2013,00006,6721.907283,Sales stream 6,REGION_002,Sales
31/12/2013,00007,1084.277692,Sales stream 7,REGION_002,Sales
31/12/2013,00008,6061.321027,Sales stream 8,REGION_002,Sales
31/12/2013,00009,5948.039832,Sales stream 9,REGION_002,Sales
31/12/2013,00010,1068.794228,Sales stream 10,REGION_002,Sales
31/12/2013,00011,5767.645916,Sales stream 11,REGION_003,Sales
31/12/2013,00012,6975.98303,Sales stream 12,REGION_003,Sales
31/12/2013,00013,2981.57352,Sales stream 13,REGION_003,Sales
31/12/2013,00014,566.5755648,Sales stream 14,REGION_003,Sales
31/12/2013,00015,6464.662154,Sales stream 15,REGION_003,Sales
31/12/2013,00016,6985.126243,Sales stream 16,REGION_003,Sales
31/12/2013,00017,1740.605874,Sales stream 17,REGION_003,Sales
31/12/2013,00018,6169.377489,Sales stream 18,REGION_003,Sales
31/12/2013,00019,7476.776825,Sales stream 19,REGION_003,Sales
31/12/2013,00020,8877.167947,Sales stream 20,REGION_003,Sales
31/12/2013,00021,6233.591119,Sales stream 21,REGION_003,Sales
31/12/2013,00022,3258.82416,Sales stream 22,REGION_003,Sales
31/12/2013,00023,8620.937626,Sales stream 23,REGION_003,Sales
31/12/2013,00024,8440.046494,Sales stream 1,REGION_001,Sales
31/12/2013,00025,5108.680704,Sales stream 2,REGION_001,Sales
31/12/2013,00026,8396.286085,Sales stream 3,REGION_001,Sales
31/12/2013,00027,4342.621454,Sales stream 4,REGION_001,Sales
31/12/2013,00028,66.2970614,Sales stream 5,REGION_001,Sales
31/12/2013,00029,3558.527162,Sales stream 6,REGION_002,Sales
31/12/2013,00030,5000.040251,Sales stream 7,REGION_002,Sales
31/12/2013,00031,7723.094226,Sales stream 8,REGION_002,Sales
31/12/2013,00032,5475.699775,Sales stream 9,REGION_002,Sales
31/12/2013,00033,3551.475117,Sales stream 10,REGION_002,Sales
31/12/2013,00034,8844.865837,Sales stream 11,REGION_003,Sales
31/12/2013,00035,1276.956081,Sales stream 12,REGION_003,Sales
31/12/2013,00036,8547.746785,Sales stream 13,REGION_003,Sales
31/12/2013,00037,6731.486682,Sales stream 14,REGION_003,Sales
31/12/2013,00038,5736.67437,Sales stream 15,REGION_003,Sales
31/12/2013,00039,4219.231959,Sales stream 16,REGION_003,Sales
31/12/2013,00040,1492.505394,Sales stream 17,REGION_003,Sales
31/12/2013,00041,4143.597964,Sales stream 18,REGION_003,Sales
31/12/2013,00042,9232.356471,Sales stream 19,REGION_003,Sales
31/12/2013,00043,226.9698311,Sales stream 20,REGION_003,Sales
31/12/2013,00044,8887.282833,Sales stream 21,REGION_003,Sales
31/12/2013,00045,8318.663454,Sales stream 22,REGION_003,Sales
31/12/2013,00046,5855.095054,Sales stream 23,REGION_003,Sales
31/12/2013,00047,-628.5161448,Production cost 1,REGION_001,Cost of sales
31/12/2013,00048,-6467.822906,Production cost 2,REGION_001,Cost of sales
31/12/2013,00049,-6190.589621,Production cost 3,REGION_001,Cost of sales
31/12/2013,00050,-8897.98546,Production cost 4,REGION_001,Cost of sales
31/12/2013,00051,-5424.334675,Production cost 5,REGION_001,Cost of sales
31/12/2013,00052,-986.5992927,Production cost 6,REGION_001,Cost of sales
31/12/2013,00053,-5821.217779,Production cost 7,REGION_001,Cost of sales
31/12/2013,00054,-9613.87276,Production cost 8,REGION_001,Cost of sales
31/12/2013,00055,-8576.442998,Production cost 9,REGION_001,Cost of sales
31/12/2013,00056,-5937.09231,Production cost 10,REGION_002,Cost of sales
31/12/2013,00057,-5972.470392,Production cost 11,REGION_002,Cost of sales
31/12/2013,00058,-6356.894527,Production cost 12,REGION_002,Cost of sales
31/12/2013,00059,-4599.243302,Production cost 13,REGION_002,Cost of sales
31/12/2013,00060,-5491.766551,Production cost 14,REGION_002,Cost of sales
31/12/2013,00061,-5192.321781,Production cost 15,REGION_002,Cost of sales
31/12/2013,00062,-8071.303404,Production cost 16,REGION_002,Cost of sales
31/12/2013,00063,-642.7255088,Production cost 17,REGION_002,Cost of sales
31/12/2013,00064,-5612.795346,Production cost 18,REGION_002,Cost of sales
31/12/2013,00065,-6270.613418,Production cost 19,REGION_002,Cost of sales
31/12/2013,00066,-8415.711112,Production cost 20,REGION_002,Cost of sales
31/12/2013,00067,-1979.724144,Production cost 21,REGION_003,Cost of sales
31/12/2013,00068,-6968.405256,Production cost 22,REGION_003,Cost of sales
31/12/2013,00069,-2672.686877,Production cost 23,REGION_003,Cost of sales
31/12/2013,00070,-765.9822262,Production cost 24,REGION_003,Cost of sales
31/12/2013,00071,-9092.116245,Production cost 25,REGION_003,Cost of sales
31/12/2013,00072,-9024.043299,Production cost 26,REGION_003,Cost of sales
31/12/2013,00073,-5873.254081,Production cost 27,REGION_003,Cost of sales
31/12/2013,00074,-2357.579107,Production cost 28,REGION_003,Cost of sales
31/12/2013,00075,-1396.547203,Production cost 29,REGION_003,Cost of sales
31/12/2013,00076,-8476.394292,Production cost 30,REGION_003,Cost of sales
31/12/2013,00077,-6389.885887,Production cost 31,REGION_003,Cost of sales
31/12/2013,00078,-7908.241695,Production cost 32,REGION_003,Cost of sales
31/12/2013,00079,-6058.475669,Production cost 33,REGION_003,Cost of sales
31/12/2013,00080,-8059.609595,Production cost 34,REGION_003,Cost of sales
31/12/2013,00081,-6754.950483,Production cost 35,REGION_003,Cost of sales
31/12/2013,00082,-9204.458406,Production cost 36,REGION_003,Cost of sales
31/12/2013,00083,-314.0339119,Overhead Cost tracking,REGION_001,Cost of sales
31/12/2013,00084,-3676.929254,Overhead Cost tracking,REGION_001,Administration expenses
31/12/2013,00085,-1666.780046,Overhead Cost tracking,REGION_001,Administration expenses
31/12/2013,00086,-7340.268248,Overhead Cost tracking,REGION_001,Distribution expenses
31/12/2013,00087,-2252.399516,Overhead Cost tracking,REGION_001,Cost of sales
31/12/2013,00088,-8797.216096,Overhead Cost tracking,REGION_002,Cost of sales
31/12/2013,00089,-9125.308103,Overhead Cost tracking,REGION_002,Cost of sales
31/12/2013,00090,-8564.509307,Overhead Cost tracking,REGION_002,Administration expenses
31/12/2013,00091,-8107.081478,Overhead Cost tracking,REGION_002,Administration expenses
31/12/2013,00092,-5104.740216,Overhead Cost tracking,REGION_002,Distribution expenses
31/12/2013,00093,-6484.365836,Overhead Cost tracking,REGION_003,Administration expenses
31/12/2013,00094,-3022.706443,Overhead Cost tracking,REGION_003,Cost of sales
31/12/2013,00095,-3762.720775,Overhead Cost tracking,REGION_003,Administration expenses
31/12/2013,00096,-7501.886826,Overhead Cost tracking,REGION_003,Cost of sales
31/12/2013,00097,-7042.276884,Overhead Cost tracking,REGION_003,Distribution expenses
31/12/2013,00098,807237.121,Fixed assets and investments,Non Trading asset,"Property, plant and equipment"
31/12/2013,00099,440471.7699,Fixed assets and investments,Non Trading asset,"Property, plant and equipment"
31/12/2013,00100,973828.478,Fixed assets and investments,Non Trading asset,"Property, plant and equipment"
31/12/2013,00101,604435.378,Fixed assets and investments,Non Trading asset,"Property, plant and equipment"
31/12/2013,00102,430556.4793,Fixed assets and investments,Non Trading asset,"Property, plant and equipment"
31/12/2013,00103,902219.2738,Fixed assets and investments,Non Trading asset,Intangible assets
31/12/2013,00104,417618.244,Fixed assets and investments,Non Trading asset,Intangible assets
31/12/2013,00105,978533.7489,Fixed assets and investments,Non Trading asset,Intangible assets
31/12/2013,00106,293014.9355,Fixed assets and investments,Non Trading asset,Investment property
31/12/2013,00107,582049.4384,Fixed assets and investments,Non Trading asset,Investment property
31/12/2013,00108,550072.6306,Fixed assets and investments,Non Trading asset,Investment property
31/12/2013,00109,787678.9856,Bank loan 1,Financing and loans,Loans and borrowings
31/12/2013,00110,774123.7459,Bank loan 2,Financing and loans,Loans and borrowings
31/12/2013,00111,50767.24378,Bank loan 3,Financing and loans,Loans and borrowings
31/12/2013,00112,354512.5367,Bank loan 4,Financing and loans,Loans and borrowings
31/12/2013,00113,668388.7904,Bank loan 5,Financing and loans,Loans and borrowings
31/12/2013,00114,355692.2406,Bank loan 6,Financing and loans,Loans and borrowings
31/12/2013,00115,189003.5147,Bank loan 7,Financing and loans,Loans and borrowings
31/12/2013,00116,482451.0834,Bank loan 8,Financing and loans,Loans and borrowings
31/12/2013,00117,143803.4573,Stock asset for sale 1,Trading asset,Inventories
31/12/2013,00118,569745.1358,Stock asset for sale 1,Trading asset,Inventories
31/12/2013,00119,824511.1789,Stock asset for sale 2,Trading asset,Inventories
31/12/2013,00120,585863.2287,Stock asset for sale 3,Trading asset,Inventories
31/12/2013,00121,559614.2424,Stock asset for sale 4,Trading asset,Inventories
31/12/2013,00122,185458.3473,Stock asset for sale 5,Trading asset,Inventories
31/12/2013,00123,353604.9512,Stock asset for sale 6,Trading asset,Inventories
31/12/2013,00124,391235.583,Stock asset for sale 7,Trading asset,Inventories
31/12/2013,00125,864441.0318,Stock asset for sale 8,Trading asset,Inventories
31/12/2013,00126,852795.2356,Stock asset for sale 9,Trading asset,Inventories
31/12/2013,00127,468967.045,Stock asset for sale 10,Trading asset,Inventories
31/12/2013,00128,239426.1418,Petty Cash 1,Trading asset,Cash and cash equivalents
31/12/2013,00129,773385.6044,Petty Cash 1,Trading asset,Cash and cash equivalents
31/12/2013,00130,909782.6001,Petty Cash 1,Trading asset,Cash and cash equivalents
31/12/2013,00131,988112.3653,Bank account 1,Trading asset,Cash and cash equivalents
31/12/2013,00132,882746.1355,Bank account 2,Trading asset,Cash and cash equivalents
31/12/2013,00133,428683.0723,Bank account 3,Trading asset,Cash and cash equivalents
31/12/2013,00134,955874.4802,Bank account 4,Trading asset,Cash and cash equivalents
31/12/2013,00135,305126.4791,Wages to be paid 1,Trading liability,Income Tax Payable
31/12/2013,00136,304309.1793,Wages to be paid 2,Trading liability,Income Tax Payable
31/12/2013,00137,402818.5662,Wages to be paid 3,Trading liability,Income Tax Payable
31/12/2013,00138,95608.67289,VAT to be paid 1,Trading liability,Trade and other payables
31/12/2013,00139,172860.4247,VAT to be paid 2,Trading liability,Trade and other payables
31/12/2013,00140,204575.8776,VAT to be paid 3,Trading liability,Trade and other payables
31/12/2013,00141,777172.2442,NICs to be paid 1,Trading liability,Income Tax Payable
31/12/2013,00142,464769.2902,NICs to be paid 2,Trading liability,Income Tax Payable
31/12/2013,00143,363586.3045,NICs to be paid 3,Trading liability,Income Tax Payable
31/12/2013,00144,95608.67289,Company shares 1,Company equity,Share capital
31/12/2013,00145,172860.4247,Company shares 1,Company equity,Share capital
31/12/2013,00146,204575.8776,Company shares 1,Company equity,Share capital
31/12/2013,00147,777172.2442,Company shares 1,Company equity,Share capital
31/12/2013,00148,464769.2902,Company shares 1,Company equity,Share capital
31/12/2013,00149,363586.3045,Company shares 1,Company equity,Share capital
31/12/2013,00150,95608.67289,Company shares 1,Company equity,Share capital
31/12/2013,00151,172860.4247,Previous profits 1,Company equity,Retained earnings
31/12/2013,00152,204575.8776,Previous profits 1,Company equity,Retained earnings
31/12/2013,00153,777172.2442,Previous profits 1,Company equity,Retained earnings
31/12/2013,00154,464769.2902,Previous profits 1,Company equity,Retained earnings
31/12/2013,00155,363586.3045,Previous profits 1,Company equity,Retained earnings
31/12/2013,00156,363586.3045,Previous profits 1,Company equity,Retained earnings
